"","","mpn","name","status","replacedByName","type","wifi","bluetooth","threadZigbee","operatingTemp","gpio","flash","sram","rom","psram","freq","dimensions","spq","moq","preFirmware","idfSupports","voltageRange","price","eccnCode","ccatszCode","hsCode","leadTime"
"FALSE","1","ESP32-C5HR8","ESP32-C5","Mass Production","","SoC","IEEE 802.11b/g/n/ax; 2.4/5 GHz; HT20; up to 150 Mbps","Bluetooth LE v5.3","Available","-40 ~ 105","29","0","384","320","8, Quad","240","QFN48(6*6)","3000","3000","NO","v1.x","3.0 ~ 3.6","USD 1.9","5A992.c","G197376","8542399000","4 weeks"
"FALSE","2","ESP32-C5HF4","ESP32-C5","Mass Production","","SoC","IEEE 802.11b/g/n/ax; 2.4/5 GHz; HT20; up to 150 Mbps","Bluetooth LE v5.3","Available","-40 ~ 105","29","4, Quad","384","320","0","240","QFN48(6*6)","3000","3000","NO","v1.x","3.0 ~ 3.6","USD 1.93","5A992.c","G197376","8542399000","4 weeks"
"FALSE","3","ESP32-C5-WROOM-1-N4","ESP32-C5-WROOM-1","Mass Production","","Module","IEEE 802.11b/g/n/ax; 2.4/5 GHz; HT20; up to 150 Mbps","Bluetooth LE v5.3","Available","-40 ~ 85","22","4, Quad","384","320","0","240","18*27.5*3.3","650","3250","NO","v1.x","3.0 ~ 3.6","USD 2.88","5A992.c","G197376","8542311999","8 weeks"
"FALSE","4","ESP32-C5-WROOM-1-N8R8","ESP32-C5-WROOM-1","Mass Production","","Module","IEEE 802.11b/g/n/ax; 2.4/5 GHz; HT20; up to 150 Mbps","Bluetooth LE v5.3","Available","-40 ~ 85","22","8, Quad","384","320","8, Quad","240","18*27.5*3.3","650","3250","NO","v1.x","3.0 ~ 3.6","USD 3.18","5A992.c","G197376","8542311999","6 weeks"
"FALSE","5","ESP32-C5-WROOM-1-N16R8","ESP32-C5-WROOM-1","Mass Production","","Module","IEEE 802.11b/g/n/ax; 2.4/5 GHz; HT20; up to 150 Mbps","Bluetooth LE v5.3","Available","-40 ~ 85","22","16, Quad","384","320","8, Quad","240","18*27.5*3.3","650","3250","NO","v1.x","3.0 ~ 3.6","USD 3.43","5A992.c","G197376","8542311999","8 weeks"
"FALSE","6","ESP32-C5-WROOM-1U-N8R8","ESP32-C5-WROOM-1U","Mass Production","","Module","IEEE 802.11b/g/n/ax; 2.4/5 GHz; HT20; up to 150 Mbps","Bluetooth LE v5.3","Available","-40 ~ 85","22","8, Quad","384","320","8, Quad","240","18*21.2*3.3","650","3250","NO","v1.x","3.0 ~ 3.6","USD 3.18","5A992.c","G197376","8542311999","6 weeks"
"FALSE","7","ESP32-C5-MINI-1-N4","ESP32-C5-MINI-1","Mass Production","","Module","IEEE 802.11b/g/n/ax; 2.4/5 GHz; HT20; up to 150 Mbps","Bluetooth LE v5.3","Available","-40 ~ 85","22","4, Quad","384","320","0","240","15.4*21.3*2.4","650","3250","NO","v1.x","3.0 ~ 3.6","USD 2.58","5A992.c","G197376","8542311999","8 weeks"
"FALSE","8","ESP32-C5-WROOM-1U-N4","ESP32-C5-WROOM-1U","Mass Production","","Module","IEEE 802.11b/g/n/ax; 2.4/5 GHz; HT20; up to 150 Mbps","Bluetooth LE v5.3","Available","-40 ~ 85","22","4, Quad","384","320","0","240","18*21.2*3.3","650","3250","NO","v1.x","3.0 ~ 3.6","USD 2.88","5A992.c","G197376","8542311999","8 weeks"
"FALSE","9","ESP32-C5-WROOM-1U-N16R8","ESP32-C5-WROOM-1U","Mass Production","","Module","IEEE 802.11b/g/n/ax; 2.4/5 GHz; HT20; up to 150 Mbps","Bluetooth LE v5.3","Available","-40 ~ 85","22","16, Quad","384","320","8, Quad","240","18*21.2*3.3","650","3250","NO","v1.x","3.0 ~ 3.6","USD 3.43","5A992.c","G197376","8542311999","8 weeks"
"FALSE","10","ESP32-C5-WROOM-1-N32R8","ESP32-C5-WROOM-1","Mass Production","","Module","IEEE 802.11b/g/n/ax; 2.4/5 GHz; HT20; up to 150 Mbps","Bluetooth LE v5.3","Available","-40 ~ 85","22","32, Quad","384","320","8, Quad","240","18*27.5*3.3","650","3250","NO","v1.x","3.0 ~ 3.6","USD 5.0","5A992.c","G197376"," 8542311999","8 weeks with forecast for 6 months; 16 weeks without forecast.(Non Cancellation)"
"FALSE","11","ESP32-C5-WROOM-1U-N32R8","ESP32-C5-WROOM-1U","Mass Production","","Module","IEEE 802.11b/g/n/ax; 2.4/5 GHz; HT20; up to 150 Mbps","Bluetooth LE v5.3","Available","-40 ~ 85","22","32, Quad","384","320","8, Quad","240","18*21.2*3.3","650","3250","NO","v1.x","3.0 ~ 3.6","USD 5.0","5A992.c"," G197376","8542311999","8 weeks with forecast for 6 months; 16 weeks without forecast.(Non Cancellation)"
"FALSE","12","ESP32-C5-MINI-1U-N4","ESP32-C5-MINI-1U","Sample","","Module","IEEE 802.11b/g/n/ax; 2.4/5 GHz; HT20; up to 150 Mbps","Bluetooth LE v5.3","Available","-40 ~ 85","22","4, Quad","384","320","0","240","15.4*15.4*2.4","650","3250","NO","v1.x","3.0 ~ 3.6","USD 2.6","5A992.c","G197376","8542311999","8 weeks"
